,created_date,tweets,sentiment
71,2019-05-06,Warren Buffett unfazed news deteriorating US-China trade talks,Neutral
72,2019-05-06,Stocks open sharply lower Trump threatens hike tariffs China,Negative
73,2019-05-06,"Highlight : `` economy booms sometimes , sometimes n't , '' Charlie Munger says . `` live li…",Positive
74,2019-05-06,"Charlie Munger : 'If want one mantra , comes ' Singapore 's first prime minister",Positive
75,2019-05-06,"Highlight : `` seem close resolution global trade war remains elusive , '' Whittier Trust CI…",Neutral
76,2019-05-06,"Highlight : One @ NYSE trader said `` markets priced going China-U.S. deal , thi…",Neutral
77,2019-05-06,Highlight : `` big question happens negotiations scheduled start Wednesday ? `` …,Neutral
78,2019-05-06,RT @ readDanwrite : # Endgame 2nd-highest grossing movie ever ( globally ) behind Avatar . 6 10 biggest U.S. opening weeke…,Negative
79,2019-05-06,LIVE : First Trade,Positive
80,2019-05-06,Warren Buffett explain misses lot big investing opportunities,Neutral
81,2019-05-06,'s story Charlie Munger tells lawyers ask become billionaires,Neutral
82,2019-05-06,Munger : Bitcoin investors celebrate 'Judas Iscariot ' happy hours,Positive
83,2019-05-06,Warren Buffett : Companies distress increasingly turning Berkshire Hathaway,Neutral
84,2019-05-06,RT @ YahooFinance : Warren Buffett n't practice preaches index investing,Neutral
85,2019-05-06,"Berkshire Hathaway 'so peculiar , ' according Charlie Munger",Neutral
86,2019-05-06,Behind scenes shopping Berkshire Hathaway 's shareholders meeting,Negative
87,2019-05-06,Warren Buffett : Private equity 'not good looks ',Negative
88,2019-05-06,"RT @ lisascherzer : Asked share values life , Warren Buffett said , “ ’ two things ’ buy : time love. ” …",Positive
89,2019-05-06,Warren Buffett describes fun investment outside Berkshire — duck hunting club,Positive
90,2019-05-06,Warren Buffett defends Berkshire 's Amazon stock purchase 'value investing ',Neutral
91,2019-05-06,"Warren Buffett : 'm 'card-carrying capitalist , ' rejects US embrace socialism",Neutral
92,2019-05-06,Warren Buffett Charlie Munger defend Wells Fargo 's disgraced CEOs,Neutral
93,2019-05-06,Charlie Munger : Berkshire 'probably liberal ' stock buybacks,Neutral
94,2019-05-06,Warren Buffett decries accounting rule change made mess Berkshire 's earnings,Negative
95,2019-05-06,"RT @ YahooFinance : Highlight : Munger investing philosophy : `` n't indexes , always willing two o…",Positive
96,2019-05-06,"RT @ YahooFinance : Highlight : `` Charlie literally ... 60 years , 've never argument , '' Buffett says . `` 'll never conf…",Neutral
97,2019-05-06,"RT @ YahooFinance : Buffett American economy , capitalism : 'It works '",Neutral
98,2019-05-06,"RT @ YahooFinance : Highlight : `` ’ formula evaluates risk , '' Buffett says , `` certainly make calculation r…",Positive
99,2019-05-06,Morning Brief : U.S. stock futures plunge Trump threatens Chinese tariffs,Neutral
100,2019-05-06,RT @ YahooFinance : Highlight : `` success auto companies getting insurance business probably likely insurance com…,Positive
101,2019-05-06,"RT @ YahooFinance : Highlight : Buffett : `` n't formula evaluates risk , certainly make calculation risk vs.…",Positive
102,2019-05-06,RT @ YahooFinance : Highlight : large transactions $ 10 billion Occidental transaction ? Buffett : `` somebody wants lot c…,Positive
103,2019-05-06,RT @ YahooFinance : Warren Buffett values life : 'The two things ca n't buy ',Neutral
104,2019-05-06,business leaders gathered Omaha buy Warren Buffett 's optimism US-China relations # yfbuffett…,Neutral
105,2019-05-06,"RT @ YahooFinance : Highlight : Buffett Amex : `` 1950 , living 116th Broadway , down 65 Broadway ... most…",Negative
106,2019-05-06,"RT @ YahooFinance : Highlight : `` always many , many competitors business , '' Buffett says . `` ’ think credit c…",Positive
107,2019-05-06,"RT @ YahooFinance : Highlight : `` n't know whether 'll outperform & amp ; P 500 , '' Buffett says . `` know 'll behave shareh…",Neutral
108,2019-05-06,Fidelity offer cryptocurrency trading within weeks,Neutral
109,2019-05-06,Boeing disclose 737 MAX alert issue FAA 13 months,Neutral
110,2019-05-06,Occidental tweaks $ 38 billion Anadarko bid remove shareholder vote,Neutral
111,2019-05-06,RT @ YahooFinance : Warren Buffett feels worse missing Google Amazon,Negative
112,2019-05-06,"RT @ YahooFinance : Highlight : Keeping Berkshire thriving past lifetime `` primary motivation , '' Buffett says . `` think Berkshire is…",Positive
113,2019-05-06,RT @ YahooFinance : Highlight : Berkshire missing out opportunities n't know local markets overseas ? `` problem not…,Negative
114,2019-05-06,"RT @ YahooFinance : Highlight : Buffett Brexit : `` 'm Englishman , feeling mistake vote leave . ..…",Neutral
115,2019-05-06,"RT @ YahooFinance : Highlight : `` n't think actually provide less information , '' Buffett says . `` may present somewhat different fo…",Negative
116,2019-05-06,RT @ YahooFinance : Highlight : plans set up company China ? Munger : `` Well 've got one — Dairy Queen over China . And…,Neutral
117,2019-05-06,RT @ YahooFinance : Highlight : Buffett rise automation potential job losses : `` n't think need worry American ingenu…,Neutral
118,2019-05-06,RT @ YahooFinance : Highlight : Buffett : `` Regulation pain neck [ ] n't want bunch charlatans operating . '' Munger : `` …,Neutral
119,2019-05-06,"RT @ YahooFinance : Highlight : `` economy people , system remarkably ingenious achieving whatever , '' Buff…",Positive
120,2019-05-06,RT @ YahooFinance : Highlight : `` think Freddie [ Mac ] Fannie [ Mae ] finance homes … Cla…,Neutral
121,2019-05-06,wanted see proper private jet experience like . disappoint .,Neutral
122,2019-05-06,RT @ YahooFinance : Highlight : n't Berkshire invest excess cash diversified index fund ? Buffett : `` conditions ... unde…,Neutral
123,2019-05-06,"RT @ YahooFinance : Highlight : `` ’ 20 public company corporate boards , '' Buffett says . `` independent directors many cases are…",Positive
124,2019-05-06,RT @ YahooFinance : Highlight : `` one thing definitely understand Berkshire run business way t…,Neutral
125,2019-05-06,"RT @ YahooFinance : Charlie Munger : 'If want one mantra , comes ' Singapore 's first prime minister",Positive
126,2019-05-06,"RT @ YahooFinance : Highlight : `` put lot money energy , '' Buffett says . `` 're really marvelous shape department . .…",Positive
127,2019-05-06,"underwater reef made up over 2,500 subway cars . went see up close :",Neutral
128,2019-05-06,RT @ YahooFinance : Warren Buffett missing market 's hottest tech stocks,Negative
129,2019-05-06,"RT @ YahooFinance : Highlight : Buffett Progressive : ’ “ , well run business… appetite growth . Sometimes they…",Neutral
130,2019-05-06,RT @ YahooFinance : Highlight : Berkshire need adopt model wide moats strong brands embrace technology ? Buffett : `` do…,Positive
131,2019-05-06,RT @ YahooFinance : Highlight : “ ’ think ’ happened 737 Max [ 8 ] particular effect '' FlightSafety says Buff…,Positive
132,2019-05-05,RT @ YahooFinance : Highlight : Buffett Berkshire 's portfolio performance : “ could calculated fairly easy ’ 40 % Berksh…,Positive
133,2019-05-05,"RT @ YahooFinance : Highlight : value life ? Munger : `` Well , would like little . '' Buffett : `` 's the…",Negative
134,2019-05-05,RT @ YahooFinance : Munger : Bitcoin investors celebrate 'Judas Iscariot ' happy hours,Positive
135,2019-05-05,RT @ YahooFinance : Highlight : GAMCO CEO Mario Gabelli comparing investing style Buffett 's : `` notion value investing ... what…,Neutral
136,2019-05-05,"Uber IPO , Lyft earnings — know week ahead",Neutral
137,2019-05-05,RT @ YahooFinance : Warren Buffett : Companies distress increasingly turning Berkshire Hathaway,Neutral
138,2019-05-05,RT @ YahooFinance : Highlight : Mario Gabelli succession Buffett : `` think 's telegraphed forever ... professional boa…,Positive
139,2019-05-05,"RT @ YahooFinance : Highlight : Berkshire Hathaway Director Ron Olson : `` whole lot reasons people come Berkshire [ deals ] , …",Positive
140,2019-05-05,"RT @ YahooFinance : Berkshire Hathaway 'very peculiar , ' according Charlie Munger",Positive
141,2019-05-05,"RT @ YahooFinance : Highlight : Robert R. Johnson , PhD , CFA , business learn Buffett Munger : `` hire good people , yo…",Positive
142,2019-05-05,"final season ‘ Game Thrones ’ cost $ 15,000,000 per episode :",Negative
143,2019-05-05,"RT @ YahooFinance : Highlight : `` like Apple holdings much , '' says Warren Buffett $ AAPL Berkshire ’ largest holding , declini…",Positive
144,2019-05-05,RT @ YahooFinance : Behind scenes shopping Berkshire Hathaway 's shareholders meeting,Negative
145,2019-05-05,RT @ YahooFinance : Highlight : Munger 3G : `` ’ think problem cut research something . think problem paid…,Neutral
146,2019-05-05,"RT @ YahooFinance : Highlight : @ WhitneyTilson , 22nd consecutive Berkshire meeting : `` keep waiting old age catch up with…",Positive
147,2019-05-05,RT @ YahooFinance : Highlight : Buffett partnering 3G Capital : `` taste leverage do… also ... in…,Neutral
148,2019-05-05,"RT @ YahooFinance : Highlight : Munger : `` want one mantra , comes Lee Kuan Yew . ... Figure out works . go…",Neutral
149,2019-05-05,RT @ YahooFinance : Highlight : Buffett 10 % Fed threshold bank holdings regulatory impact Berkshire : “ like 9.5 % compa…,Neutral
150,2019-05-05,RT @ YahooFinance : Highlight : `` ’ think want manage people ’ money vehicle reach kind peop…,Positive
151,2019-05-05,"RT @ YahooFinance : Highlight : Buffett : `` ’ happy $ 50,000 $ 100,000 , ’ going happy $ 50 million…",Positive
152,2019-05-05,"RT @ YahooFinance : Highlight : Munger : `` Let tell story tell young lawyers frequently come say , 'How quit…",Positive
153,2019-05-05,"RT @ YahooFinance : Highlight : Buffett bitcoin : `` honeymoon 1952 , bride , 19 , , 21 , stopped Las Vegas . ... looked arou…",Neutral
154,2019-05-05,RT @ YahooFinance : Berkshire Hathaway 's Warren Buffett : Private equity 'not good looks ',Negative
155,2019-05-05,"Legal U.S. marijuana tax generated over $ 1,600,000,000 2018 :",Positive
156,2019-05-05,"RT @ YahooFinance : Highlight : `` vice chairman getting new social distinction , '' Munger says . `` 've invited gathering t…",Positive
157,2019-05-05,RT @ YahooFinance : Warren Buffett describes fun investment outside Berkshire — duck hunting club,Positive
158,2019-05-05,RT @ YahooFinance : Highlight : `` ’ necessarily think families circumstances saving money necessarily best thing to…,Positive
159,2019-05-05,RT @ YahooFinance : Warren Buffett defends Berkshire 's Amazon stock purchase 'value investing ',Neutral
160,2019-05-05,"RT @ YahooFinance : Highlight : `` Berkshire peculiar , '' Munger explains , later adding : `` 's awkward different . don't…",Negative
161,2019-05-05,RT @ YahooFinance : Highlight : kids develop delayed gratification skill ? Munger : `` ’ lot time delay answer is…,Neutral
162,2019-05-05,RT @ YahooFinance : Highlight : Buffett Berkshire 's new Amazon investment : `` people making decision Amazon absolutely much…,Positive
163,2019-05-05,"RT @ YahooFinance : Highlight : `` ’ certain irony insurance people n't think , '' Buffett says . `` really pr…",Positive
164,2019-05-05,"RT @ YahooFinance : Warren Buffett : 'm 'card-carrying capitalist , ' rejects US embrace socialism",Neutral
165,2019-05-05,"RT @ YahooFinance : Highlight : Buffett pension fund investments : `` ’ good looks , really think grou…",Positive
166,2019-05-05,"RT @ YahooFinance : Highlight : `` n't mind caught Amazon early , '' Munger says . `` guy [ Jeff Bezos ] kind miracle worker , …",Positive
167,2019-05-05,"U.S. government pay $ 1,000 adopt horse .",Neutral
168,2019-05-05,RT @ YahooFinance : Highlight : Buffett : `` covenants protect debt holders really deteriorated business . … personal opinio…,Positive
169,2019-05-05,"RT @ YahooFinance : `` Kraft-Heinz still well operationally , paid much , '' Buffett says , adding : `` turn inves…",Positive
170,2019-05-05,RT @ YahooFinance : Highlight : Buffett : `` 9.3 million profitable line Nebraska Furniture Mart think company pa…,Neutral
171,2019-05-05,"RT @ YahooFinance : Highlight : `` made mistake Kraft part Kraft Heinz , '' Buffett says . `` ’ tragedy out two transa…",Neutral
172,2019-05-05,"RT @ YahooFinance : Highlight : `` world going change dramatic ways , '' Buffett says . `` think much 's changed 54 yea…",Negative
