,created_date,tweets,sentiment
82,2019-05-03,"60 % 100 fastest revenue growth & amp ; P 500 names , 40 % intermediate term Treasuries . Rebalance every summer . Outperform…",Neutral
83,2019-05-03,@ AnthonyWalfred Marvelous clouds cuz,Positive
84,2019-05-03,@ GondorVau Pfffffffffff,Neutral
85,2019-05-03,@ SconnieTrader @ Nonrelatedsense Stop . blessed .,Neutral
86,2019-05-03,"@ Nonrelatedsense edge setting up permanent capital . beez trap , bee beez trap .",Neutral
87,2019-05-03,"short term market voting machine . long term ’ weighing machine . , like fe…",Negative
88,2019-05-03,@ trendobs @ alphatrends Right . 100 % bullshit .,Positive
89,2019-05-03,Clips Today ’ Halftime Report,Neutral
90,2019-05-02,"@ lopezlinette ’ Maria , drinking morning .",Neutral
91,2019-05-02,@ ChrisTomolonis @ MichaelKitces @ dougboneparth @ CPAPlanner @ jus10castelli @ AlexChalekian @ jposhaughnessy Choose wise…,Neutral
92,2019-05-02,@ Kurt_from_SoCal True ! brothers LA,Positive
93,2019-05-02,@ Night_Clerk quick .,Positive
94,2019-05-02,@ LeannaO ’ .,Neutral
95,2019-05-02,@ TraderMD ’ still claiming .,Neutral
96,2019-05-02,"One thing New Yorker become one us within month moving . leave , …",Positive
97,2019-05-02,prefer Americans New Yorkers 99 % time . Unless need something done quick,Positive
98,2019-05-02,Times Square petting zoo New Yorkers go see Americans,Positive
99,2019-05-02,quick hit @ CNBCClosingBell 4:30 Shake Shack earnings report + Beyond Meat explosive IPO - check us out ! $ SHAK $ BYND,Positive
100,2019-05-02,Really thrilled talk NBA legend @ thejohnsalley original investor Beyond Meat ( $ BYND ) an…,Positive
101,2019-05-02,@ tomcolicchio trying check out Small Batch Roosevelt Field soon . backyard ! Wishing luck,Negative
102,2019-05-02,@ alphaarchitect happy birthday man . Hope ’ great !,Positive
103,2019-05-02,@ Wattoant Lol,Positive
104,2019-05-02,@ pastaguy1 Hopefully,Neutral
105,2019-05-02,"Ooooh , hope 's Maria",Neutral
106,2019-05-02,,Neutral
107,2019-05-02,: Beyond Meat ( $ BYND ) IPO Remember `` Krusty Burger Squared '' - made cows fed cows ?,Neutral
108,2019-05-02,@ Nonrelatedsense happy yeah,Positive
109,2019-05-02,@ alex_breslin ragrettes,Neutral
110,2019-05-02,( sad trombone ),Negative
111,2019-05-02,yeah said,Neutral
112,2019-05-02,@ iancassel @ IntelligentCm Good luck Ian .,Positive
113,2019-05-02,"“ kind idiot would make men ’ bathroom women ’ bathroom size ? answer , normal architect ! ”",Negative
114,2019-05-02,"hilarious - Charlie Munger donates school , buildings going done way . Thankfu…",Positive
115,2019-05-02,sure want attention get .,Positive
116,2019-05-02,"@ JasonGilbert9 Lol , love",Positive
117,2019-05-02,@ joeday05 : ),Positive
118,2019-05-02,"RT @ TheCompoundNews : KNOW : economy makes July without recession , 's longest expansion HISTORY ! ? ! - @ nirka…",Neutral
119,2019-05-02,Hot,Positive
120,2019-05-02,@ FundamentalHype REITs timber ’ ’ into…..,Neutral
121,2019-05-02,"@ davidpricesd “ sequence returns ” risk agree ’ worthy discussion , probably standalone video",Positive
122,2019-05-02,Wrote up really good Sell May ? take took liberty deleting ’ 2012 anymore .,Positive
123,2019-05-02,know people use wood prices stock market signal IRL,Neutral
124,2019-05-02,@ DougKass Retire .,Neutral
125,2019-05-02,Wall Street ’ Want Know Risk,Neutral
126,2019-05-02,Wall Street ’ Want Know Risk,Neutral
127,2019-05-02,@ JeanneSager whoa,Neutral
128,2019-05-02,@ investnashville first time,Positive
129,2019-05-02,"shaming Ser Michael House Batnick missing # GameofThrones ’ main intention , ’ glad got chan…",Positive
130,2019-05-02,kids hate wife gym ’ charge,Negative
131,2019-05-02,Thought ran out pancake syrup morning another one,Neutral
132,2019-05-02,Yesterday Senator Hawaii asked Barr would okay President instruct White House counse…,Positive
133,2019-05-02,@ JAllenWerner Stand ...,Neutral
134,2019-05-02,@ ebonyangel2k @ auntiebaecc Lol !,Positive
135,2019-05-02,@ mselheimer @ georgevhulme Tru,Neutral
136,2019-05-02,# Austin : ’ coming town next week whole Ritholtz Mafia . one extra ticket monster blues show…,Positive
137,2019-05-02,@ 79USMC Correct . used eat kale .,Neutral
138,2019-05-02,@ Z_Strauss hoof,Neutral
139,2019-05-02,RT @ McKelvieJames : Fed ’ Third Mandate Reelect President Trump @ ReformedBroker,Neutral
140,2019-05-02,@ robenfarzad @ FullDRadio @ MartinAgency @ RichmondGrid @ StyleWeekly @ LaurenYoung @ jasonzweigwsj @ FunnyAsianDude…,Neutral
141,2019-05-02,made salad,Neutral
142,2019-05-02,"Jeff Macke Target , Amazon , Walmart etc",Neutral
143,2019-05-01,New Yorkers first nice day May,Positive
144,2019-05-01,@ l_stepan6 @ JoePiSkates thank !,Neutral
145,2019-05-01,RT @ advicentcoo : One day @ michaelbatnick . One day .,Neutral
146,2019-05-01,@ damondamore Good . ’ buyer .,Positive
147,2019-05-01,"usual @ BlairHduQuesnay nails . disruptive force advice industry ’ tech , demographics ! …",Negative
148,2019-05-01,@ FlowTraderES @ SlopeOfHope like,Neutral
149,2019-05-01,@ Value_equity @ JeffMacke Thx !,Neutral
150,2019-05-01,"RT @ HistoryDean : Well , ca n't unsee . Mark zero , Dude . # Lebowski # BarrHearing",Neutral
151,2019-05-01,@ hmeisler @ JeffMacke @ IvanTheK definitely,Neutral
152,2019-05-01,. @ JeffMacke best . knows stuff really well .,Positive
153,2019-05-01,@ BrettArends @ Target Yup,Neutral
154,2019-05-01,Today 1962 - first @ Target store opens Minneapolis . grabbed friend Jeff Macke tell us came…,Positive
155,2019-05-01,@ SlopeOfHope thank predicting crash every week ten years ?,Neutral
156,2019-05-01,Ohmygod,Neutral
157,2019-05-01,RT @ VossenJustin : Really nice work @ ReformedBroker,Positive
158,2019-05-01,@ randomroger @ ROIChristie whyb responding month old tweets ? rescued sort collapsed…,Positive
159,2019-05-01,RT @ dougboneparth : : least 3 6 months living expenses cash . Apple :,Negative
160,2019-05-01,Thoughts : Hottest Stock Market 20 Years,Neutral
161,2019-05-01,"saying Boston fans uncouth , like , Eagles fan - ’ way insufferable lately .",Negative
162,2019-05-01,@ DominickSica Sure,Positive
163,2019-05-01,@ therealbenz24k Shout @ jpodnos @ TwitterNYC,Neutral
164,2019-05-01,Thoughts ? JPMorgan tweet ? IPO mania ? 's worse : Boston fans Philly fans ? …,Negative
165,2019-05-01,RT @ BrettLoGiurato : Sir Wendy 's,Neutral
166,2019-05-01,’ love America enough cut interest rates zero buy $ 10 trillion worth Treasury bonds T…,Positive
167,2019-05-01,@ justinisreal lol beard plays,Positive
168,2019-05-01,"RT @ CNBC : Scared market volatility ? n't , says @ ReformedBroker . Instead , think volatility portfolio 's best friend .",Positive
169,2019-05-01,One Hundred Trillion Dollar asset management industry makes money convincing people a…,Positive
170,2019-05-01,’ study showed people much likely save invest seriously seeing computer gener…,Negative
171,2019-05-01,Episode Two ! Send every investor know care . follow up make sure watc…,Positive
172,2019-05-01,"Queue “ ’ age well ” takes . reuse ones posted 2013 , ’ tell .",Neutral
173,2019-05-01,@ AndySwan @ TheCompoundNews Yes . star team .,Neutral
174,2019-05-01,Ohmygod @ TheCompoundNews,Neutral
175,2019-05-01,2019,Neutral
176,2019-05-01,RT @ cetorres8 : else know work Potemkin Village ashtangi yoga blog post 8AM ? @ ReformedBroker,Neutral
177,2019-05-01,Fed ’ Third Mandate Reelect President Trump,Neutral
178,2019-05-01,"Every President wants low interest rates , Trump unique . Every President knows key keepin…",Positive
179,2019-05-01,new email signature,Positive
180,2019-05-01,@ Oh_So_Gordo know bad,Negative
181,2019-05-01,@ AshleyElisaG,Neutral
182,2019-05-01,Giggling like moron right IRL,Negative
183,2019-05-01,’ director ’ cut # sonicthehedgehog trailer talking . Get pumped .,Neutral
184,2019-05-01,"’ saying Ken Griffin ’ wrong socialism , ’ saying maybe ’ right spokesperson this…",Negative
185,2019-05-01,Lol Mueller ’ like author ’ like film adaptation book . Sorry Lestat ’ smoldering enoug…,Positive
186,2019-05-01,RT @ BobTheSuit : Please listen carefully menu items changed . Pressing number result random gruesome d…,Negative
187,2019-05-01,@ felixsalmon ’ right . ’ neglected resorts even boutique hotel properties long . Chinese beating us .,Positive
188,2019-05-01,$ 2 trillion infrastructure program shore up America ’ crumbling luxury hotels,Neutral
189,2019-05-01,1950 ’ would gotten dog blue fur play Sonic . . 1980 ’ would @ DannyDeVito,Neutral
190,2019-05-01,’ . ?,Neutral
191,2019-05-01,new video drop @ Cnbc dot com tomorrow . ’ blow lid off single biggest misunderstanding Wa…,Positive
192,2019-05-01,@ kyzcralotSxaM outchea,Neutral
193,2019-05-01,@ soloprosperity Bananas,Neutral
194,2019-05-01,WeWork missed five year revenue target almost billion dollars spends money like ATL rapper Magic…,Neutral
195,2019-04-30,@ fundstrat @ mikealfred @ ryanalfred Nice !,Positive
196,2019-04-30,@ BobbyJCohen everyone,Neutral
197,2019-04-30,@ wh3atth1nz miss URL tweeted,Neutral
198,2019-04-30,Nick teaches us important things need hear advisors : dignity utter necessity pro…,Positive
199,2019-04-30,"@ Justin_RGMP ’ even mine , ’ Ralph Wanger ’ !",Neutral
200,2019-04-30,book changed life . read 2010 career took off like rocket decade flaili…,Neutral
201,2019-04-30,AINT KNOW NJ Taiwan amazing lol,Positive
202,2019-04-30,@ Brooke happy birthday kid . Enjoy beach : ),Positive
203,2019-04-30,@ bpsandpieces @ Christie_Runs ! ! ! ! ! ! ! ! ! ! ! !,Neutral
204,2019-04-30,@ jimmycapo65 Got,Neutral
205,2019-04-30,@ hwy333 @ dollarsanddata Amen,Neutral
206,2019-04-30,"kidding aside , ’ know donations admission stuff illegal . always assumed how…",Negative
207,2019-04-30,Congrats @ jonsteinberg & amp ; co,Neutral
208,2019-04-30,@ dollarsanddata many people thinking way ? `` kinds information becoming ubiquito…,Positive
209,2019-04-30,"Though 22 years old , receive important advice entire career . m…",Positive
210,2019-04-30,RT @ TheCompoundNews : Mutual Funds Still Manage 4x Much ETFs @ RyanPKirlin,Positive
211,2019-04-30,RT @ fintechfrank : . @ ReformedBroker @ APompliano 's Morgan Creek get behind startup 's gunning Bloomberg meets Github for…,Negative
212,2019-04-30,"Oh , Vanilla Ice-signed SnapBack favorite piece swag ever . guys get",Positive
213,2019-04-30,"Big Homie Anthony @ advicentcoo came thru - big things Naviplan , sponsoring @ wealthstackconf etc",Neutral
214,2019-04-30,@ TheIpHawk : ),Positive
215,2019-04-30,"@ mikealfred @ ryanalfred told idea build Bloomberg digital assets , ’ know…",Neutral
216,2019-04-30,@ _BrianRosen_ @ carlquintanilla @ BullandBaird Nah,Neutral
217,2019-04-30,Barry spittin real rn,Positive
218,2019-04-30,’ opening portal Hell 39th Street 5th 6th . Hale & amp ; Hearty . Whatever .,Neutral
219,2019-04-30,"@ carlquintanilla @ BullandBaird Ride Captain Ride . Also , ‘ ’ Captain / Closer Home ’ Grand Funk Railroad…",Positive
220,2019-04-30,@ georgevhulme Probably,Neutral
221,2019-04-30,@ carlquintanilla @ BullandBaird know specific detail chain made the…,Neutral
222,2019-04-30,@ jrm9510 @ stockx Tru,Neutral
223,2019-04-30,"turn sound up , hear shrieks ladies want get . ’ sorry , lif…",Negative
224,2019-04-30,Mastering market cycle,Neutral
225,2019-04-30,@ crankytraveler @ stockx Also make medium ? serious lol,Positive
226,2019-04-30,BAPE market quite efficient yet . Look bid/ask spread @ stockx,Neutral
227,2019-04-30,@ awaxman One big green one want say ?,Negative
228,2019-04-30,Dude tie pin jewel . ’ like many drifters killed ?,Positive
229,2019-04-30,Big Slowing Small Growing,Negative
230,2019-04-30,Big Slowing Small Growing,Negative
231,2019-04-30,@ AnthonyCopeman banks also better business books . . inertia strong force keeping m…,Positive
232,2019-04-30,Alphabet burned like $ 800 million last quarter “ Bets ” . could gotten Bryce Harper 25 years kind cash ...,Positive
233,2019-04-30,"@ fundandtechy ’ used cortana yet , seen anyone wild engaging ...",Positive
234,2019-04-30,Google ’ immediate problem e-commerce searches skipping originating Amazon . Long-term problem t…,Neutral
235,2019-04-30,@ TAtrades @ RampCapitalLLC Lol,Positive
236,2019-04-30,Stop ordering “ stuffed crust ” animals .,Neutral
237,2019-04-30,@ AndySwan @ RampCapitalLLC Put under mattress .,Neutral
238,2019-04-30,’ store every month kids sports . Always need something almost always it.…,Neutral
239,2019-04-30,@ RampCapitalLLC furnish entire house chairs .,Neutral
240,2019-04-30,"rumors started spread Modell 's Sporting Goods hiring undertaker , CEO call every supplie…",Neutral
241,2019-04-30,RT @ icecube : discovered master filmmaker name John Singleton . made movie star made filmmaker…,Neutral
242,2019-04-30,@ EconomPic laws anymore ?,Neutral
243,2019-04-30,Jacob trendi- oh .,Neutral
244,2019-04-30,"Capital One massive , multi-million dollar ad buy # NBAPlayoffs brag turned t…",Neutral
245,2019-04-29,@ EspTrades know,Neutral
246,2019-04-29,@ MineshLad1 Ha,Neutral
247,2019-04-29,"relieved Theon emotion felt , ya know ?",Neutral
248,2019-04-29,@ RampCapitalLLC know know - 99 IPOs reincarnated profitable companies . cloud like resurrector,Neutral
249,2019-04-29,@ fillC @ Noahpinion Thx,Neutral
250,2019-04-29,true - single-person households households children European Union ? Rea…,Positive
251,2019-04-29,RT @ mims : theme summer 's IPOs `` things sovereign wealth funds need exit '',Neutral
252,2019-04-29,@ justinisreal @ awealthofcs Thanks Justin read !,Positive
253,2019-04-29,former,Neutral
254,2019-04-29,@ cullenroche @ EricBalchunas probably care climate change .,Neutral
255,2019-04-29,@ cullenroche @ EricBalchunas like fifteen people earth give shit debate the…,Negative
256,2019-04-29,"Things getting spicy Arkansas , .",Neutral
257,2019-04-29,Endgame Smashed Records,Neutral
258,2019-04-29,"Like bandwagon-chasing loser , bought weed stock last week",Neutral
259,2019-04-29,"Watched movie 500 times , think 9th grade came out",Neutral
260,2019-04-29,"RIP John Singleton , director Boyz n Hood ( 1991 ) , youngest person ever nominated Best Dire…",Positive
261,2019-04-29,"@ apalamsia wow , escalated quickly .",Positive
262,2019-04-29,Imagine whole army riding whales battle . ’ metal .,Positive
263,2019-04-29,"@ HFBondsTrader Lol , ’ prophecy",Positive
264,2019-04-29,@ RTShark know randomly picked year,Negative
265,2019-04-29,Yo ’ expert sounds ... bullish ?,Neutral
266,2019-04-29,RT @ awealthofcs : Taping week 's Animal Spirits Michael explaining technical analysis using TSLA example rea…,Neutral
267,2019-04-29,"Whatever , .",Neutral
268,2019-04-29,"@ dougboneparth @ DynastyFP Raymond James UBS already , believe",Neutral
269,2019-04-29,Morgan Stanley lost $ 6 billion advisor team @ DynastyFP - think might largest breakaway brok…,Neutral
270,2019-04-29,"@ SRuhle @ msnbc , check us out",Neutral
271,2019-04-29,@ NashSpaceBroker one cares care,Neutral
272,2019-04-29,Let Arya kill Cersei ’ cutting cord @ HBO,Negative
273,2019-04-29,Fam 2013 . Six summers ago . Ridiculous well planned show . HBO seven course banquet…,Negative
274,2019-04-29,"Dutch Auction , Street yawned . valuation comp analysts using Yahoo !",Neutral
275,2019-04-29,Pure comedy - Wall Street Dems throwing darts socialist candidate least likely repeal tax cuts .,Negative
276,2019-04-29,@ CliffordAsness think budgetary reasons . Cheaper shoot fighting monsters silhouette…,Neutral
277,2019-04-29,Bodycount Thrones last night incredible ...,Positive
278,2019-04-29,Timely call .,Neutral
279,2019-04-29,"$ 1.6 billion - add collection bubble anecdotes , guess . add Market Moment flash briefing…",Neutral
280,2019-04-29,Americans better playing game bulls***ing arriving estimate be…,Positive
281,2019-04-29,@ Rucas1972 thank !,Neutral
282,2019-04-29,"Today market history , 1968 + 1996 - two Broadway 's biggest successes time ... past year new recor…",Negative
283,2019-04-29,RT @ TheCompoundNews : Disney ’ ‘ Avengers : Endgame ’ shatters box office records $ 1.2 billion global debut,Neutral
284,2019-04-29,RT @ Huk06 : Wife : “ scratch marks neck ? Husband : guys went kayaking out blue seal appeared and…,Neutral
285,2019-04-28,@ BamaTrader Nice !,Positive
286,2019-04-28,Pitching gem today ... kid absolute unit,Positive
287,2019-04-28,@ BlueFielder Nah,Neutral
